config,model,condition,fold,macro_f1
sent140_glove,svm,baseline,1,0.805405
sent140_glove,svm,lexico_semantic,1,0.873807
sent140_glove,svm,baseline,2,0.804196
sent140_glove,svm,lexico_semantic,2,0.846957
sent140_glove,svm,baseline,3,0.833333
sent140_glove,svm,lexico_semantic,3,0.81913
sent140_glove,svm,baseline,4,0.81941
sent140_glove,svm,lexico_semantic,4,0.832817
sent140_glove,svm,baseline,5,0.802464
sent140_glove,svm,lexico_semantic,5,0.830952
sent140_glove,rf,baseline,1,0.742857
sent140_glove,rf,lexico_semantic,1,0.803125
sent140_glove,rf,baseline,2,0.724138
sent140_glove,rf,lexico_semantic,2,0.760141
sent140_glove,rf,baseline,3,0.70555
sent140_glove,rf,lexico_semantic,3,0.78836
sent140_glove,rf,baseline,4,0.776224
sent140_glove,rf,lexico_semantic,4,0.777606
sent140_glove,rf,baseline,5,0.711382
sent140_glove,rf,lexico_semantic,5,0.70399
sent140_w2v,svm,baseline,1,0.805405
sent140_w2v,svm,lexico_semantic,1,0.817722
sent140_w2v,svm,baseline,2,0.804196
sent140_w2v,svm,lexico_semantic,2,0.874394
sent140_w2v,svm,baseline,3,0.833333
sent140_w2v,svm,lexico_semantic,3,0.832817
sent140_w2v,svm,baseline,4,0.81941
sent140_w2v,svm,lexico_semantic,4,0.81913
sent140_w2v,svm,baseline,5,0.802464
sent140_w2v,svm,lexico_semantic,5,0.731542
sent140_w2v,rf,baseline,1,0.742857
sent140_w2v,rf,lexico_semantic,1,0.874394
sent140_w2v,rf,baseline,2,0.724138
sent140_w2v,rf,lexico_semantic,2,0.816578
sent140_w2v,rf,baseline,3,0.70555
sent140_w2v,rf,lexico_semantic,3,0.817722
sent140_w2v,rf,baseline,4,0.776224
sent140_w2v,rf,lexico_semantic,4,0.749807
sent140_w2v,rf,baseline,5,0.711382
sent140_w2v,rf,lexico_semantic,5,0.703284
