readout,dataset,fold,zero_macro_f1,semantic_macro_f1,delta,zero_collapsed,semantic_collapsed
meanpool,movie,0,0.812405,0.812443,0.000038,0,0
meanpool,movie,1,0.699992,0.723444,0.023452,0,0
meanpool,movie,2,0.777432,0.797438,0.020006,0,0
meanpool,movie,3,0.764623,0.784655,0.020032,0,0
meanpool,movie,4,0.762166,0.768699,0.006533,0,0
meanpool,twitter,0,0.741996,0.333333,-0.408663,0,1
meanpool,twitter,1,0.721128,0.660970,-0.060159,0,0
meanpool,twitter,2,0.724837,0.417286,-0.307552,0,0
meanpool,twitter,3,0.725978,0.633313,-0.092665,0,0
meanpool,twitter,4,0.719977,0.460803,-0.259174,0,0
prelast,movie,0,0.715909,0.719993,0.004084,0,0
prelast,movie,1,0.682482,0.689992,0.007510,0,0
prelast,movie,2,0.650182,0.538048,-0.112134,0,0
prelast,movie,3,0.396740,0.702081,0.305341,0,0
prelast,movie,4,0.757426,0.656003,-0.101423,0,0
prelast,twitter,0,0.735746,0.734777,-0.000969,0,0
prelast,twitter,1,0.730991,0.736342,0.005351,0,0
prelast,twitter,2,0.723884,0.723349,-0.000535,0,0
prelast,twitter,3,0.714455,0.724982,0.010527,0,0
prelast,twitter,4,0.715500,0.716999,0.001499,0,0
